"TIME (hh:mm:ss)	",PRESSURE (INH2O)  ,,,
0:02:30,0.226,,,
0:02:31,0.229,,,
0:02:31,0.226,,,
0:02:31,0.226,,,
0:02:31,0.226,,,
0:02:31,0.226,,,
0:02:32,0.226,,,
0:02:32,0.226,,,
0:02:32,0.226,,,
0:02:32,0.229,,,
0:02:32,0.229,,,
0:02:33,0.226,,,
0:02:33,0.226,,,
0:02:33,0.229,,,
0:02:33,0.226,,,
0:02:33,0.226,,,
0:02:34,0.229,,,
0:02:34,0.226,,,
0:02:34,0.226,,,
0:02:34,0.226,,,
0:02:34,0.223,,,
0:02:35,0.226,,,
0:02:35,0.232,,,
0:02:35,0.229,,,
0:02:35,0.226,,,
0:02:35,0.229,,,
0:02:36,0.226,,,
0:02:36,0.226,,,
0:02:36,0.223,,,
0:02:36,0.226,,,
0:02:36,0.226,,,
0:02:37,0.226,,,
0:02:37,0.223,,,
0:02:37,0.223,,,
0:02:37,0.223,,,
0:02:37,0.223,,,
0:02:38,0.226,,,
0:02:38,0.22,,,
0:02:38,0.223,,,
0:02:38,0.223,,,
0:02:38,0.22,,,
0:02:39,0.22,,,
0:02:39,0.22,,,
0:02:39,0.22,,,
0:02:39,0.223,,,
0:02:39,0.22,,,
0:02:40,0.22,,,
0:02:40,0.22,,,
0:02:40,0.22,,,
0:02:40,0.217,,,
0:02:40,0.217,,,
0:02:41,0.22,,,
0:02:41,0.22,,,
0:02:41,0.217,,,
0:02:41,0.217,,,
0:02:41,0.22,,,
0:02:42,0.22,,,
0:02:42,0.217,,,
0:02:42,0.22,,,
0:02:42,0.22,,,
0:02:42,0.22,,,
0:02:43,0.22,,,
0:02:43,0.22,,,
0:02:43,0.22,,,
0:02:43,0.22,,,
0:02:43,0.223,,,
0:02:44,0.223,,,
0:02:44,0.223,,,
0:02:44,0.223,,,
0:02:44,0.226,,,
0:02:44,0.223,,,
0:02:45,0.22,,,
0:02:45,0.22,,,
0:02:45,0.22,,,
0:02:45,0.223,,,
0:02:45,0.22,,,
0:02:46,0.217,,,
0:02:46,0.217,,,
0:02:46,0.217,,,
0:02:46,0.217,,,
0:02:46,0.217,,,
0:02:47,0.22,,,
0:02:47,0.217,,,
0:02:47,0.22,,,
0:02:47,0.22,,,
0:02:47,0.217,,,
0:02:48,0.217,,,
0:02:48,0.22,,,
0:02:48,0.217,,,
0:02:48,0.223,,,
0:02:48,0.22,,,
0:02:49,0.22,,,
0:02:49,0.22,,,
0:02:49,0.223,,,
0:02:49,0.22,,,
0:02:49,0.22,,,
0:02:50,0.22,,,
0:02:50,0.22,,,
0:02:50,0.22,,,
0:02:50,0.22,,,
0:02:50,0.217,,,
0:02:51,0.22,,,
0:02:51,0.22,,,
0:02:51,0.22,,,
0:02:51,0.22,,,
0:02:51,0.22,,,
0:02:52,0.22,,,
0:02:52,0.22,,,
0:02:52,0.217,,,
0:02:52,0.217,,,
0:02:52,0.217,,,
0:02:53,0.217,,,
0:02:53,0.217,,,
0:02:53,0.217,,,
0:02:53,0.217,,,
0:02:53,0.214,,,
0:02:54,0.214,,,
0:02:54,0.217,,,
0:02:54,0.214,,,
0:02:54,0.214,,,
0:02:54,0.214,,,
0:02:55,0.214,,,
0:02:55,0.214,,,
0:02:55,0.217,,,
0:02:55,0.214,,,
0:02:55,0.214,,,
0:02:56,0.214,,,
0:02:56,0.214,,,
0:02:56,0.214,,,
0:02:56,0.214,,,
0:02:56,0.214,,,
0:02:57,0.214,,,
0:02:57,0.211,,,
0:02:57,0.211,,,
0:02:57,0.211,,,
0:02:57,0.214,,,
0:02:58,0.211,,,
0:02:58,0.211,,,
0:02:58,0.214,,,
0:02:58,0.217,,,
0:02:58,0.211,,,
0:02:59,0.211,,,
0:02:59,0.214,,,
0:02:59,0.211,,,
0:02:59,0.211,,,
0:02:59,0.214,,,
0:03:00,0.214,,,
0:03:00,0.214,,,
0:03:00,0.211,,,
0:03:00,0.211,,,
0:03:00,0.211,,,
0:03:01,0.208,,,
0:03:01,0.211,,,
0:03:01,0.211,,,
0:03:01,0.208,,,
0:03:01,0.208,,,
0:03:02,0.208,,,
0:03:02,0.208,,,
0:03:02,0.208,,,
0:03:02,0.208,,,
0:03:02,0.208,,,
0:03:03,0.208,,,
0:03:03,0.208,,,
0:03:03,0.204,,,
0:03:03,0.208,,,
0:03:03,0.208,,,
0:03:04,0.208,,,
0:03:04,0.208,,,
0:03:04,0.204,,,
0:03:04,0.204,,,
0:03:04,0.208,,,
0:03:05,0.211,,,
0:03:05,0.208,,,
0:03:05,0.208,,,
0:03:05,0.208,,,
0:03:05,0.208,,,
0:03:06,0.208,,,
0:03:06,0.211,,,
0:03:06,0.211,,,
0:03:06,0.211,,,
0:03:06,0.208,,,
0:03:07,0.211,,,
0:03:07,0.208,,,
0:03:07,0.208,,,
0:03:07,0.208,,,
0:03:07,0.204,,,
0:03:08,0.204,,,
0:03:08,0.204,,,
0:03:08,0.208,,,
0:03:08,0.204,,,
0:03:08,0.208,,,
0:03:09,0.208,,,
0:03:09,0.208,,,
0:03:09,0.208,,,
0:03:09,0.208,,,
0:03:09,0.211,,,
0:03:10,0.208,,,
0:03:10,0.208,,,
0:03:10,0.208,,,
0:03:10,0.204,,,
0:03:10,0.204,,,
0:03:11,0.204,,,
0:03:11,0.204,,,
0:03:11,0.204,,,
0:03:11,0.204,,,
0:03:11,0.204,,,
0:03:12,0.204,,,
0:03:12,0.204,,,
0:03:12,0.201,,,
0:03:12,0.201,,,
0:03:12,0.201,,,
0:03:13,0.201,,,
0:03:13,0.201,,,
0:03:13,0.201,,,
0:03:13,0.204,,,
0:03:13,0.204,,,
0:03:14,0.204,,,
0:03:14,0.201,,,
0:03:14,0.201,,,
0:03:14,0.204,,,
0:03:14,0.204,,,
0:03:15,0.204,,,
0:03:15,0.204,,,
0:03:15,0.204,,,
0:03:15,0.204,,,
0:03:15,0.204,,,
0:03:16,0.201,,,
0:03:16,0.201,,,
0:03:16,0.204,,,
0:03:16,0.201,,,
0:03:16,0.201,,,
0:03:17,0.201,,,
0:03:17,0.201,,,
0:03:17,0.201,,,
0:03:17,0.201,,,
0:03:17,0.201,,,
0:03:18,0.198,,,
0:03:18,0.204,,,
0:03:18,0.198,,,
0:03:18,0.198,,,
0:03:18,0.198,,,
0:03:19,0.198,,,
0:03:19,0.198,,,
0:03:19,0.198,,,
0:03:19,0.198,,,
0:03:19,0.201,,,
0:03:20,0.198,,,
0:03:20,0.201,,,
0:03:20,0.201,,,
0:03:20,0.204,,,
0:03:20,0.204,,,
0:03:21,0.201,,,
0:03:21,0.201,,,
0:03:21,0.201,,,
0:03:21,0.201,,,
0:03:21,0.201,,,
0:03:22,0.201,,,
0:03:22,0.198,,,
0:03:22,0.198,,,
0:03:22,0.195,,,
0:03:22,0.198,,,
0:03:23,0.198,,,
0:03:23,0.201,,,
0:03:23,0.208,,,
0:03:23,0.201,,,
0:03:23,0.201,,,
0:03:24,0.201,,,
0:03:24,0.198,,,
0:03:24,0.198,,,
0:03:24,0.198,,,
0:03:24,0.201,,,
0:03:25,0.198,,,
0:03:25,0.198,,,
0:03:25,0.201,,,
0:03:25,0.201,,,
0:03:25,0.201,,,
0:03:26,0.201,,,
0:03:26,0.201,,,
0:03:26,0.201,,,
0:03:26,0.201,,,
0:03:26,0.201,,,
0:03:27,0.201,,,
0:03:27,0.198,,,
0:03:27,0.201,,,
0:03:27,0.201,,,
0:03:27,0.198,,,
0:03:28,0.198,,,
0:03:28,0.201,,,
0:03:28,0.201,,,
0:03:28,0.201,,,
0:03:28,0.204,,,
0:03:29,0.201,,,
0:03:29,0.201,,,
0:03:29,0.201,,,
0:03:29,0.201,,,
0:03:29,0.201,,,
0:03:30,0.204,,,
0:03:30,0.201,,,
0:03:30,0.201,,,
0:03:30,0.201,,,
0:03:30,0.204,,,
0:03:31,0.204,,,
0:03:31,0.204,,,
0:03:31,0.201,,,
0:03:31,0.204,,,
0:03:31,0.204,,,
0:03:32,0.204,,,
0:03:32,0.204,,,
0:03:32,0.208,,,
0:03:32,0.208,,,
0:03:32,0.204,,,
0:03:33,0.204,,,
0:03:33,0.204,,,
0:03:33,0.204,,,
0:03:33,0.204,,,
